entity_id,state,last_changed
sensor.combined_mesh_solar_energy,23805.51,2026-06-29T05:32:45.523Z
sensor.combined_mesh_solar_energy,23805.53,2026-06-29T05:34:28.330Z
sensor.combined_mesh_solar_energy,23805.55,2026-06-29T05:36:43.281Z
sensor.combined_mesh_solar_energy,23805.57,2026-06-29T05:38:08.263Z
sensor.combined_mesh_solar_energy,23805.6,2026-06-29T05:40:38.712Z
sensor.combined_mesh_solar_energy,23805.62,2026-06-29T05:42:19.084Z
sensor.combined_mesh_solar_energy,23805.65,2026-06-29T05:44:39.272Z
sensor.combined_mesh_solar_energy,23805.67,2026-06-29T05:46:04.621Z
sensor.combined_mesh_solar_energy,23805.7,2026-06-29T05:48:27.480Z
sensor.combined_mesh_solar_energy,23805.74,2026-06-29T05:50:11.688Z
sensor.combined_mesh_solar_energy,23805.78,2026-06-29T05:52:07.497Z
sensor.combined_mesh_solar_energy,23805.82,2026-06-29T05:54:32.288Z
sensor.combined_mesh_solar_energy,23805.86,2026-06-29T05:56:29.601Z
sensor.combined_mesh_solar_energy,23805.9,2026-06-29T05:58:38.303Z
sensor.combined_mesh_solar_energy,23805.95,2026-06-29T06:01:00.326Z
sensor.combined_mesh_solar_energy,23806.0,2026-06-29T06:02:14.279Z
sensor.combined_mesh_solar_energy,23806.05,2026-06-29T06:04:27.462Z
sensor.combined_mesh_solar_energy,23806.11,2026-06-29T06:06:42.538Z
sensor.combined_mesh_solar_energy,23806.17,2026-06-29T06:08:53.300Z
sensor.combined_mesh_solar_energy,23806.25,2026-06-29T06:10:35.466Z
sensor.combined_mesh_solar_energy,23806.32,2026-06-29T06:12:17.360Z
sensor.combined_mesh_solar_energy,23806.39,2026-06-29T06:15:01.278Z
sensor.combined_mesh_solar_energy,23806.44,2026-06-29T06:16:17.525Z
sensor.combined_mesh_solar_energy,23806.48,2026-06-29T06:19:00.296Z
sensor.combined_mesh_solar_energy,23806.51,2026-06-29T06:20:30.567Z
sensor.combined_mesh_solar_energy,23806.55,2026-06-29T06:22:39.265Z
sensor.combined_mesh_solar_energy,23806.58,2026-06-29T06:24:24.263Z
sensor.combined_mesh_solar_energy,23806.61,2026-06-29T06:26:48.560Z
sensor.combined_mesh_solar_energy,23806.64,2026-06-29T06:28:23.625Z
sensor.combined_mesh_solar_energy,23806.67,2026-06-29T06:30:58.642Z
sensor.combined_mesh_solar_energy,23806.7,2026-06-29T06:32:35.595Z
sensor.combined_mesh_solar_energy,23806.72,2026-06-29T06:34:56.091Z
sensor.combined_mesh_solar_energy,23806.73,2026-06-29T06:36:15.283Z
sensor.combined_mesh_solar_energy,23806.74,2026-06-29T06:38:57.288Z
sensor.combined_mesh_solar_energy,23806.75,2026-06-29T06:40:34.305Z
sensor.combined_mesh_solar_energy,23806.76,2026-06-29T06:42:18.634Z
sensor.combined_mesh_solar_energy,23806.77,2026-06-29T06:44:18.249Z
sensor.combined_mesh_solar_energy,23806.78,2026-06-29T06:46:07.559Z
sensor.combined_mesh_solar_energy,23806.81,2026-06-29T06:48:39.577Z
sensor.combined_mesh_solar_energy,23806.85,2026-06-29T06:51:02.028Z
sensor.combined_mesh_solar_energy,23806.89,2026-06-29T06:52:42.274Z
sensor.combined_mesh_solar_energy,23806.95,2026-06-29T06:54:58.283Z
sensor.combined_mesh_solar_energy,23807.0,2026-06-29T06:56:32.264Z
sensor.combined_mesh_solar_energy,23807.05,2026-06-29T06:58:55.319Z
sensor.combined_mesh_solar_energy,23807.09,2026-06-29T07:01:00.618Z
sensor.combined_mesh_solar_energy,23807.12,2026-06-29T07:02:49.293Z
sensor.combined_mesh_solar_energy,23807.15,2026-06-29T07:04:40.274Z
sensor.combined_mesh_solar_energy,23807.18,2026-06-29T07:06:39.611Z
sensor.combined_mesh_solar_energy,23807.2,2026-06-29T07:09:02.272Z
sensor.combined_mesh_solar_energy,23807.22,2026-06-29T07:11:00.302Z
sensor.combined_mesh_solar_energy,23807.24,2026-06-29T07:12:11.274Z
sensor.combined_mesh_solar_energy,23807.25,2026-06-29T07:15:13.410Z
sensor.combined_mesh_solar_energy,23807.26,2026-06-29T07:17:11.229Z
sensor.combined_mesh_solar_energy,23807.27,2026-06-29T07:18:55.833Z
sensor.combined_mesh_solar_energy,23807.28,2026-06-29T07:22:47.083Z
sensor.combined_mesh_solar_energy,23807.29,2026-06-29T07:24:47.056Z
sensor.combined_mesh_solar_energy,23807.3,2026-06-29T07:28:28.661Z
sensor.combined_mesh_solar_energy,23807.31,2026-06-29T07:32:17.437Z
sensor.combined_mesh_solar_energy,23807.32,2026-06-29T07:37:01.265Z
sensor.combined_mesh_solar_energy,23807.33,2026-06-29T07:40:56.107Z
sensor.combined_mesh_solar_energy,23807.34,2026-06-29T07:42:31.249Z
sensor.combined_mesh_solar_energy,23807.35,2026-06-29T07:46:52.289Z
sensor.combined_mesh_solar_energy,23807.36,2026-06-29T07:49:01.080Z
sensor.combined_mesh_solar_energy,23807.37,2026-06-29T07:50:35.269Z
sensor.combined_mesh_solar_energy,23807.39,2026-06-29T07:52:20.275Z
sensor.combined_mesh_solar_energy,23807.41,2026-06-29T07:54:42.445Z
sensor.combined_mesh_solar_energy,23807.43,2026-06-29T07:56:42.671Z
sensor.combined_mesh_solar_energy,23807.45,2026-06-29T07:58:29.279Z
sensor.combined_mesh_solar_energy,23807.48,2026-06-29T08:00:33.286Z
sensor.combined_mesh_solar_energy,23807.51,2026-06-29T08:02:15.905Z
sensor.combined_mesh_solar_energy,23807.54,2026-06-29T08:04:07.277Z
sensor.combined_mesh_solar_energy,23807.56,2026-06-29T08:07:00.578Z
sensor.combined_mesh_solar_energy,23807.59,2026-06-29T08:08:58.263Z
sensor.combined_mesh_solar_energy,23807.61,2026-06-29T08:10:03.294Z
sensor.combined_mesh_solar_energy,23807.64,2026-06-29T08:12:43.268Z
sensor.combined_mesh_solar_energy,23807.67,2026-06-29T08:14:03.636Z
sensor.combined_mesh_solar_energy,23807.71,2026-06-29T08:16:08.106Z
sensor.combined_mesh_solar_energy,23807.75,2026-06-29T08:18:30.285Z
sensor.combined_mesh_solar_energy,23807.79,2026-06-29T08:20:42.306Z
